min_con,max_con,avg_con,var_con,avg_dia,avg_seg_dia,avg_len_seg_dia,prop_dia
2,35,5.776923076923077,24.219467455621302,17.003694581280786,1.2967980295566504,13.38784893267652,1.0
2,12,3.0584269662921346,2.0415301098346164,8.349514563106796,1.3089143865842896,6.409385113268609,1.0
2,57,7.00383877159309,40.138181041183906,10.367973182052605,1.2282104177411037,8.199546587588104,1.0
2,16,4.8493150684931505,11.771814599361981,17.297029702970296,1.3762376237623761,12.528630363036301,1.0
2,26,5.25,15.516447368421053,16.735023041474655,1.4642857142857142,11.332469278033795,1.0
2,14,2.6776649746192893,1.3250341415651008,12.81648298993771,1.492573071394346,7.795743491455041,1.0
2,31,5.35202492211838,18.732776273522187,20.421989528795812,1.5403141361256545,12.888350785340315,1.0
2,26,5.8264462809917354,20.09384604876716,11.586387434554974,1.5274869109947644,7.316644851657939,1.0
2,45,6.139344262295082,33.69779629131954,10.859058487874465,1.5457917261055636,6.284469805040418,1.0
2,38,5.445945945945946,18.832663744825908,21.447526236881558,1.434782608695652,14.745714642678658,1.0
